Category: All categories

Week,Milkshake: (United States),Hamburger: (United States),Breakup: (United States)
2024-01-28,23,63,13
2024-02-04,26,69,20
2024-02-11,22,67,16
2024-02-18,25,69,29
2024-02-25,23,65,25
2024-03-03,24,68,17
2024-03-10,26,68,23
2024-03-17,26,64,19
2024-03-24,23,67,17
2024-03-31,21,63,14
2024-04-07,21,67,14
2024-04-14,24,70,19
2024-04-21,22,69,15
2024-04-28,21,73,13
2024-05-05,21,65,13
2024-05-12,21,68,13
2024-05-19,21,74,13
2024-05-26,23,100,13
2024-06-02,24,70,15
2024-06-09,23,71,18
2024-06-16,22,74,24
2024-06-23,23,74,13
2024-06-30,22,94,13
2024-07-07,24,71,14
2024-07-14,23,69,13
2024-07-21,22,69,13
2024-07-28,21,69,12
2024-08-04,22,64,10
2024-08-11,24,67,10
2024-08-18,21,70,11
2024-08-25,20,67,10
2024-09-01,20,69,16
2024-09-08,19,63,12
2024-09-15,20,74,12
2024-09-22,19,61,13
2024-09-29,20,59,13
2024-10-06,20,62,13
2024-10-13,18,61,14
2024-10-20,19,65,15
2024-10-27,18,60,13
2024-11-03,17,53,12
2024-11-10,22,58,13
2024-11-17,20,58,13
2024-11-24,17,51,12
2024-12-01,19,52,13
2024-12-08,18,55,13
2024-12-15,17,56,12
2024-12-22,17,57,13
2024-12-29,23,69,17
2025-01-05,24,64,13
2025-01-12,25,64,13
2025-01-19,22,65,13
2025-01-26,23,62,13
2025-02-02,28,67,14
2025-02-09,24,63,17
2025-02-16,26,68,15
2025-02-23,27,67,13
